id,title,key
1,为什么中国人自带繁简转换器？,中国 汉字系统 简化汉字 历史 英语 文字 信息 人脑 海洋 高度
2,什么是博弈论？,博弈者 客官 博弈论 价格战 军事 买菜 思想 企业 学问 学校
3,《基因组：人类自传23章》,人类 基因组 药膏 人类基因 历史 陈述句 身体 语言障碍 英国 单眼皮
4,什么是关税？,关税 零关税 摊主 烤串 进口商品 性价比 市场 出口商品 产业 全球
5,“智商”是什么？,儿童智力 盆腔炎 智商 学龄儿童 人类 小孩 众人 数字 机器 海洋
6,wifi信号是怎么穿墙的？,信号 wifi 信息 身体 中国 城市 电脑 人体 储藏室 手机
7,《流浪地球》最大的硬伤：洛希极限竟是错的！地球真会被木星撕碎吗？,牛顿定律 地球 录取线 木碗 匀速圆周 木星 流浪 洛希 惯性力 odm
8, 为什么水在4度时密度最大？,密度 特性 物质 方向性 分子 生物 物体 体积 温度 冰面
9,SoLink学术助手小程序,助手 程序 学术 山雨 记录 信息 平台 功能 图片 学校
10,卷积神经网络,神经网络 卷积 数据量 图像 区域 类型 磁化率 空间 机制 形式
11,计算机图形学,计算机 框图 数字图像 图形学 点线面 工程图 历史 图像 技术 信息
12,计算机视觉,计算机 视觉 挂面 技术 人脸识别 交感 图像 系统 信息 背景
