id,title,key
1,阿图尔·叔本华,叔本华 物自体 悲观主义 思想 哲学 学术界 学说 德国 心灵 空间
2,深度学习,人工神经网络 人脸识别 图像 模型 英语 框架 区域 分支 网络 生物
3,巴黎圣母院,巴黎圣母院 历史 法国 建筑 石头 母亲 主体 圣母院 宗教 国家
4,黑洞,黑洞 灰洞 白洞 物理学界 英语 传播速度 物质 理论 英国 空间
5,神经元,神经原 cerebellar 神经元 granule 颗粒细胞 髓鞘 神经细胞 neuron 轴突 胶状
6,外星人,外星人 先进设备 英语 科学 人类 计划 学术 宇宙 地球 产物
7,计算机科学,计算机相关 计算机科学 计算机硬件 计算技术 telescopes informatique mathematician 英语 数据处理 科学
8,卷积神经网络,池化层 softmax pooling 图像 模型 分类器 网络 效果 边缘 网路
9,奥卡姆剃刀,剃刀 英语 公式化 启发法 理论 模型 科学 工具 变体 数学
10,维克多雨果,vikt 维克多 雨果 文学 文学运动 作家 作品 诗歌 法国 文章
11,计算机图形学,框图 工程图 线宽 图像 技术 模型 图形 图象 英语 信息
12,计算机视觉,技术 模型 图像 交感 系统 信息 计算机 机器 科学 生物
13,决策树,决策树 概率模型 矩形框 树结构 决策分析 技术 模型 工具 策略 目标
14,机器学习,近似算法 集中学习 交叉学科 历史 理论 程序 计算机 分支 机器 数据挖掘
15,微信小程序,公开课 企业 中国 假货 社会 政府 城市 行业 官方 环境
16,华南理工大学,华南理工大学 策源地 水利系 专业 八校 历史 校园 工业 学校 英语
17,宪法,根本法 法律学家 宪法 成文宪法 法律 英国 美国 英语 政府 程序
18,言论自由,法律 英语 美国 重要性 政府 权利 面向 国家 思想 基石
19,多重宇宙论,诡论 理论 英语 时光隧道 科学 美国 人类 区域 物理 哲学
20,双缝实验,透明板 干涉现象 双缝 locality 电子 波动性 区域 记录 物理 辐照度
21,信息检索,信息检索 文本文档 信息 导图 图像 文件 系统 英语 实体 数据
22,广州,主港 广州 广州港 历史 佛冈县 岭南文化 英语 中国 市区 城市
23,室内设计,设备设计 新理念 室内设计 方案设计 深加工 天棚 技术 材料 热学 专业
24,经济学,经济学 历史 社会 经济 商业 理论 科学 政府 宗教 法律
25,三维模型,模型 模型表示 线框 图像 sprite 工具 系统 信息 实体 计算机
26,计算机辅助药物设计,结合部位 药物 静电场 大分子 技术 相匹配 化学 分子 信息 生物
27,华为,华为技术有限公司 企业 美国 美国政府 消费市场 中国 外国 全球 供应商 网络
28,海思半导体,海思 美国硅谷 半导体 北京 上海 网络 全球 瑞典 数字 解决方案
29,电气电子工程师学会,电子 工程师 现行标准 学会 电气 教育领域 电气工程师 技术 专业 英语
30,线性表,线性表 特性 链式 序列 数据结构 元素 数据 逻辑 线性 指针
31,儿童节,工人失业 生存权 儿童节 社会公众 欧美国家 德国 中国 妇女 国家 男性
32,栈,读数据 出栈 栈顶 计算机领域 系统 线性表 区域 体系结构 入口 管道
33,二叉树,树结构 subtree 二叉树 连通性 子树 右子 信息 森林 left 节点
34,强化学习,最优控制 普适性 approximate 遗传算法 特性 技术 理论 英语 系统 行为主义
35,遗传算法,遗传算法 搜索算法 mutation 适应度 局部 数值 英语 序列 群体 计算机
36,云计算,计算资源 电信网 技术 网络 服务商 资源 底层 计算能力 动态 电脑
37,数据挖掘,数据挖掘 决策支持系统 技术 数据管理 数据处理 信息 模型 英语 记录 分支
38,显卡,扩展槽 插针 隔行扫描 处理单元 adapter 功能 chipset 组件 芯片 计算机
39,智慧医疗,监督机制 技术 覆盖面 现状 信息 背景 社区 区域 资源 医务人员
40,区块链,blockchain 账本 英文原版 信息 链式 技术 机制 计算机技术 加密算法 网络
