id,title,key
1,为什么中国人自带繁简转换器？,繁体字 汉字 文字 信息 中国 文化 大陆 老师 狗刨 肠道
2,什么是博弈论？,博弈论 军事 数学 社会学 道理 排量 生产线 学校 价格 思想
3,《基因组：人类自传23章》,基因 心脏病 基因组 人类 环境 皮质醇 科学家 智力 智商 激素
4,什么是关税？,关税 烤串 商品 国家 产业 摊主 命运 消费者 进口国 市场
5,“智商”是什么？,智商 智力 儿童 年龄 高智商 俱乐部 爱因斯坦 机器 韦氏 大脑
6,wifi信号是怎么穿墙的？,信号 wifi 电磁波 建筑 路由器 障碍物 客厅 频率 卧室 微波
7,《流浪地球》最大的硬伤：洛希极限竟是错的！地球真会被木星撕碎吗？,木星 地球 引力 加速度 惯性 半径 系统 天体 地面 惯性力
8, 为什么水在4度时密度最大？,水分子 温度 摄氏度 氢键 物质 密度 物体 图片 冰面 原子
9,SoLink学术助手小程序,用户 学术 平台 程序 讲座 功能 助手 SoLink 信息 社会
10,卷积神经网络,卷积 神经网络 函数 图像 网络 深度 参数 线性 损失 交叉
11,计算机图形学,图形 计算机 曲面 造型 图形学 算法 绘制 肺结核 真实感 动画
12,计算机视觉,视觉 计算机 系统 信息 图像 科学 学科 文件 手写 机器
13,计算机视觉,视觉 计算机 图像 信息 目标 系统 科学 学科 环境 过程
