id,title,content
1,为什么中国人自带繁简转换器？,你可以在微博微信喜马拉雅b站等平台找到我们，请问你觉得这个视频难做吗什么都做之前我不知道为什么我会认识繁体字丹肠道感觉也还行就，就算这句话中可能有你不熟悉的繁体字你只要读出其中所有的传承字然后再根据上下文语境就能自动地不熟悉的繁体字翻译过来，你好能顺畅的读书这段话因为你已经识别出这一段歌词及时你的老师从来没教过你这些字应该怎么读，其实都是繁体字幕三简体汉字同根同源高度相似的字形结构以及大量传承字的存在是繁简转换器存在的外部因素而人脑匪夷所思的信息重建能力就是反向转换器存在的内部因素，比如大部分人在阅读的时候都采取了整体阅读的方式无论一段文字中掺杂的繁体字yy文字或者干脆脱掉这些文字都不会影响信息的获取而改变文字顺序或者大小也不会影响正常阅读，2013年正式颁布的通用规范汉字表一共收入了8105个汉字其中有2546个左右的汉字是由繁体字简化得到的简体字，还有一大批汉字只保留了猿繁体字中的一部分另外还有一批轮廓子也就是保留的袁繁体字的轮廓特征值的具体的笔画进行简化，从字形结构上看绝大多数简体字都保留的原繁体字中最重要的形态特征上过学的中国人联盟太太就有很高的正确率除了简体字以外通用规范汉字表中有超过三分之二的汉字都是传承字也就是历史上留存下来并且在各地沿用至今的汉字它们既不属于繁体字也不属于简体字还是各类汉字系统中的共同组成部分是连接繁简字之间的桥梁，1956年1月31日人民日报全文发表了国务院制定的汉字简化方案公布了第一批简化汉字其中一大批文字的字形结构梅便只是把繁体字中比较复杂的部分改成了简单的符号，永远不要低估大脑的信息进口能力别说繁体字就连阅读根本不存在的火星文都不是什么难事趁着同学阅读好几种型号都不在话下，类似原则大量的汉字被简化其中的一批简化字还可以当作其它汉字的偏旁由此就得到了更多的偏旁类推简化字汉字是一种象形文字，那么为什么中国人会自带繁简转换器呢财之道在知识的海洋里狗刨，这个过程重复多次之后老师没教过的繁体字也就逐渐认识英语感慨文化产品的强是你从小接触繁体字的次数可能远远超出自己的想象一至于你可能没有意识到有多少大陆群众喜闻乐见的文化产品，3301，
2,什么是博弈论？,其中一方主动放弃转向的选项并且让对方看到比如让邻座的人绑住自己避免损失对方的唯一理性选择就只剩下转向了这里也许你会觉得博弈论是一门既有趣又简单的学问但实际上博弈论是一门极其复杂的学问我们需要用数学建立各种不同的模型，我一句话不说需要关两天但如果我揭发了他我就可以当上释放了所以无论如何都是揭发对方比较划算二显然地囚犯也是这么想的这样问题就来了两个完全只考虑自己的罪犯最后只会得到一种结果双方互相接法客官五年你就说a和b都作出了对自己最有利的选择造成的结果却并不是最有力的双方的整体利益显然是受损了这个思想实验证明一个道理，很多人经常说学知识有什么用呢反正买菜的时候只要会加减乘除就行吗其实知识可以应用到生活的方方面面比如博弈论简单来讲博弈论可以用来预测在特定的规则下人们会做出怎样的行为会导致怎样的结果没听懂来一个好玩的例子假如a和b是两个自私的囚犯一起为什么抓到了，在生活中也随处可见比如有人拿她来分析价格战的问题如果ab两个企业的产品都不降价大家市场占有率一样相安无事赚大钱如果两个其中的一芳降价芳价格却没变自己的市场占有率就会提高赚更多的钱如果两家企业都降价了大家虽然市场占有率还是相同的转转的钱却减少了除此以外大道大国之间的军事博弈气候大会上的碳排量问题想到学校里检测不成功的问题都可以从囚徒困境中获得启发而出的囚徒困境以外博弈论中还有很多很多有趣的讨论比如很多人在电影中看到过两个鹰头标车的人互不相让都想让对方掉头自己成为勇士其实这就是博弈论中所讨论的胆小鬼博弈而赢得这种博弈的方法也很有趣每个人都有加速和转向这两个选项，但我们去找到他们犯罪的证据于是我们就想了一个办法a和b分开然后分别告诉他们规则如果a或者b接发的对方而对方守口如瓶货币自己就算带罪立功可以获得释放而对方顽固不化观察十年ab互相杰吧罪证齐全两人各关五年如果ab都守口如瓶我们就没有证据只能ab客官两天这种情况下a和b分别会作出怎样的选择呢可能很多人会说他俩是打死也不说了这样两个人都只挂两天就能出来了多划算啊但事实却并不会这样之前已经说过两个囚犯都是自私的人只会考虑自己的利益而同时他们又不知道对方的想法所以a囚犯就会想如果地球按揭了那我一句话都不说就要被关十年如果我也揭发他就只要关五年所以我应该揭发如果b梅，如果两个企业互相掌握了对方的一条关键生产线价格站还会发生吗如果我们要成功让学校减负应该如何制定规则呢这些问题都很有价值弄清这些问题不光要懂博弈论还要结合数学社会学经济学心理学等各方面的知识，知识人有用只是未必人人都会用嗯嗯嗯，3301，在很多情况下我们完全根据自身利益做出的最优选择却未必能带来整体利益的最大化这种情况被称为囚徒困境是博弈论中最经典的状况芝一，很多时候一些看似不重要的辩论都会影响整个计算的结果比如如果囚徒困境强连续进行非常非常多次博弈者的选择还会一样吗，
3,《基因组：人类自传23章》,职位越低得心脏病的可能性就越高在企业中的调查有多大类似的结果一个不抽烟不喝酒血压正常门卫阿波他得心脏病的概率还是比一个抽烟喝酒高血压的领导药膏，基因对于行为的这些影响推翻了很多传统的心理学和社会学结论比如在传统的观念看来一个人是否离婚和他小时候的家庭环境息息相关，为什么心脏病的产生慧一个人的职位高低有关呢一个人的社会地位越低就越要听从别人的命令难以决定自己的生活它的压力也就越大，这些语法规则写下来慧极其复杂但三四岁的小孩却能无师自通如果和语法相关的基因产生的突变就可能患上特定行语言障碍，看看我的单身是注定的吗别害怕来唱的栗子说心脏病大家都知道跟这三个因素有关，体内的皮质醇就越多越容易得心脏病在这个例子中皮质醇胆固醇等激素的产生和影响和基因直接相关一个人压力的大小，都是由基因决定的但不仅如此基因甚至可以直接影响我们的行为比如说语言这种东西看起来好像全靠后天的学习但是研究发现，3301，饮食习惯息燕血压高低这的确有道理但是有科学家研究的英国公务员的心脏病情况结果发现了一个很神奇的现象公务员的职位越高得心脏病的可能性越低，人类系统复杂的生命体而基因组就是这个复杂生命体的底层源代码痔疮源代码当中只有30%真正有用的股份而剩下的97%都是一堆奇奇怪怪的东西比如这个段落啥用都没有就复制了上海单词整个基因组中有14.6%都是这种垃圾，词汇虽然是后天学习的语法却是刻在基因里的本能举个栗子一个三四岁的小孩才高学会几个单词但却能一会儿说过陈述句一会儿说一个问句，无法消灭我们的自由意志刚才这些案例只是基因组人类自传中一小部分的精彩内容这本书从历史疾病个性质力，3301，比如患者小波他智力正常但是语言能力就会下降因为他很难理解语法规则只能死记硬背而对于普通人来说这些语法规则却张口就会，他们从小共同生活的家庭环境对是否离婚几乎没有影响珍对犯罪行为和智商的研究也都有类似的结果人们不得不承认智商犯罪离婚家暴等各种行为都在一定程度上受到基因的影响晶这么强大岂不是直接控制我的命运，六和它面对的社会环境相关但这个心脏病的例子中到底是谁在起主导作用吗答案是没有谁，但科学家在研究的双胞胎的离婚行为之后发现他们是否会离婚一半儿受到基因的影响一半儿受到各自的生活环境影响，二压力跟我们体内的一种激素有关皮质醇压力越大皮质醇越多皮质醇又会影响人体的免疫系统和胆固醇含量于是就和心脏病的狗简单来说一个人社会地位越低压力就越大，听起来更惊悚的是人类基因组中还包含了几千种病毒的基因在人类基因组成的比例达到了惊人的1.3%，基因可以产生激素外界环境可以刺激基因身体状态可以影响心理心理会影响我们的选择我们的选择又会影响外界环境总之所有的因素都在相互影响，所以如果有些人觉得猿猴是自己的祖先有点伤自尊的话在海底考虑妊病毒当祖先基因组人类自传这本书中像这样颠覆我们想象的科学知识还有很多其中最有趣的可能是这两个问题基因可以对人类产生哪些影响他能不能决定我们的命运是男是女单眼皮还是双眼皮黄头发还是黑头发这些与身体结构相关的事情，等多个角度介绍了基因科学中许多颠覆我们认知的有趣发现，金塔外景环境谁都无法主导一切整个系统错综复杂任何一环的找洞洞都会引起难以预料的后果所以基因会影响我们的行为，
4,什么是关税？,但在帝国这样的进口国相关产业就会由于强大的外部冲击而出现巨大的亏损面临失业等风险了所以说其实就像一道墙，不用付出任何额外的成本就可以在别人的地盘上赚钱把自己的摊位从其他岛上撤走转移到的海岛上这样串串导的优质烤串就迅速占领了发发稿的烧烤市场214同时发发到本地的烧烤他却纷纷倒闭了，很多国际贸易协定中都有一项重要的条款那就是在成员国之间的贸易往来中实行零关税或极低的关税，那么关税到底为什么这么重要关税高低对这些国家又有什么不同的影响呢我们先来讲一个故事从前有一个一烤串儿著名的小岛串串的，但这时候八八岛的岛主做出了一个惊人的决定他竟然要免除倡导的整容费其他早上摆摊的串串导导名门医听说有这种好事，也就是指国际贸易中一个国家的商品出口到另一个国家需要给那个国家缴纳关税下面我们接着讲故事本来看到通过给附近岛屿支付准入费把烤串卖到了更多的道上，嗯嗯，这样的好处是在那些免除了关税的经济体消费者们就可以轻松买到整个国际市场上最优质便宜的产品最优质的产品也能赚去全球最广泛的市场，就不得不大幅提高价格这时候对b国的消费者来说国商品的性价比并没有比b国自产的同类商品高所以帝国自产的商品卖的还不错，这里的烤串好吃又便宜串串导的倒霉了有一个心愿让烤串走出倒门走向世界一是他们带着烤串儿来到的对面的大道发发抖，收不收关税也直接影响着出口国和进口国相关产业的命运以及消费者的利益在有关税的状态下a国的商品要出口到b国，就算考察吵架一天还是能卖出很多串收入相当可观串串党的党对自己的烤串儿更有信心了它们像很多其他的岛屿都支付的准入费在那些岛上都摆出了自己的烧烤摊在这些地方串串的优质烤串也大受欢迎的摊主们大赚了一笔这里故事先告一段落，它阻碍了最好的商品在国际市场上的自由流动同时为哪个经济体内部的就业和产业发展提供了坚实的保护，在现实世界中我们刚才说的串串道经相当于出口商品的国家就相当于进口商品的国家串串的烧烤摊入住沙巴岛需要付准入费，3301，因此关税实际上就是b国这个进口国保护本国产业的一种手段如果取消关税来自a国的商品就bb国自产的同类商品性价比要高太多了，这时候哈哈岛开出一个条件要想在沙发倒出售串串的烤串本月来一串都必须鑫按照售价的78%倒支付准入费串串的弥漫接受了这个条件，摊主们只能回家待业故事讲完了现在你有没有发现收不收准入费其实直接影响了串串党和法党烧烤业的不同命运其实现实世界中也是这样，一是他的烤串开始再发发倒出售那个保障在支付准入费之后仍然盈利串串的把烤串再发展岛上卖的价格提高了但是有一串串的烤串太好吃了，
5,“智商”是什么？,一共用没事智力量表测试来智商130的人有别的智力测试得到的结果可能是132甚至是148所以单独一个智商数字并没有什么意义网上那些爱因斯坦智商180谁是谁智商两三百之内的消息也都是骗人的，最后来怎么倒流的智商这个名词但是对他的计算方法作出的调整现在什么计算智商的方法是以同龄人的整体智力水平作为参考我们定义玲人中痣利最终留的人的智商是一百，之道在知识的海洋里狗刨人们经常用智商来代表一个人的智力水平比如我们经常听到一些这样的说法，从字面上看智商就是智力的桑树慧儿童智力测试的表现被他们确定一个心智年龄用这个年龄除以生理年龄得到的结果再乘上一百就是儿童的智商听说如果一个六岁儿童的智力测试结果表明水平达到了九岁儿童的平均水平，飞剑来看智商也许不能完全等同于一个人的智力更不能决定一个人的成就智商不突出的人也可以取得不凡的成就而且高智商的人也有可能最终泯然众人矣所以智商这个东西也就那么回事儿，微信关注才知道总比别人先知道，其他人的智商按照正态分布排列这是什么意思呢以为是智力量表为例的标准差是十五也就是说68%的人的智商都在85到115之间，什么爱因斯坦智商有180呀某大老师高智商俱乐部的成员盆腔炎会经常刷到一些智力小测验智商到底是什么呢上个世纪人类研究出来一种办法来测试学龄儿童的智力那些有智力障碍的儿童筛选出来的特殊学校进行教育最后智商这个概念就出现了，推荐卡但没有必要过分在意更没有必要因为一个有较高的智商而洋洋自得就像霍金说的过度吹嘘自己智商的人都是，130的智商则意味着它超越了98%的人这也是门下高智商俱乐部的入会门槛值得注意的是除了韦氏智力量表世界上还有许多不同的智商测试它们在计算智商的时候也有不同的标准差，那他的智商就是150丹这样做有一个严重的问题那就是一个人心智成长的速度和年龄增长的速度并非是完全同步的如果所有年龄段的人都用这个标准的话晚年的爱因斯坦的智商可能还不如一个牙牙学语的小孩，那些传说中的战神甚至都从来没有做过智商测试智商测试他并不是用机器扫描大脑得到分数而是用最原始的方法考试但是智商考试的题目提示不能涵盖一个人智力的方方面面最后的分数也不能体现出这个人是否在某一方面有过人之处这就不可避免的让智商有哪些局限性，3301，
6,wifi信号是怎么穿墙的？,wifi信号是怎么穿墙的大家经常会发现如果路由器放在卧室而自己坐在客厅珍离的不远但隔了几堵墙之后wifi信号就会变得很差这是为什么呢，其实有两条路可走第一条路就是大部分人想象的哈利波特一样直接走进墙里再穿透出来医院里用的x光就有很强的穿透力，3301，所以才能穿过人体给身体照相wifi信号作为电磁波同样可以直接穿透墙壁但问题在于它的法律实在是太弱了，孙1wifi信号的传统礼并不算很强在穿透过程中会被墙壁里的水能张琴吸收许多除了直接穿透强以外wifi的另一种出行方案就是主播电磁波跟海浪一样也会有反射和衍射现象，3301，赵强又容易被挡住可以向卫生间储藏室等建筑死角信号多长就要做一些如果你想要家里的wifi信号好一点有个办法，就是调整路由器的哪个位置用路由器和手机电脑之间的障碍物少一些给wifi信号留出一条路来，如果我们了解了wifi信号穿墙原理这个问题就迎刃而解了首先需要说明的是无论是wifi信号还是广播信号都跟阳光一样本质上属于电磁波路由器所发出的这件电磁波要想从卧室穿强到达客厅，广播信号就是用这种方法的高手所以才能绕过城市中的高大建筑传播信息但wifi信号是电磁波属于微波的范畴波长要比广播用的短波还要短很多更没法跟中国和强波比了因此wifi信号绕过障碍物的能力也没有广播信号那么厉害重要的是家里的建筑结构一般又比较复杂各位杂物也很多信号穿墙会被吸收，杨艳芝就是可以在碰到障碍物滞后通过各种缝隙和通道过去相比于直接穿透墙壁而言绕着走虽然距离长点但是什么事损耗小所以在家里很多地方接收到的wifi信号都是通过这条路来的问题来了wifi信号可以绕过障碍物但这种能力并不算强电磁波的波长越长这种能力就越强，电磁波的频率越高这种穿透力就越强我们常用的wifi只有二点4g赫兹同样是电磁波的可见光频率至少是wifi的实际万代x光就更要高的多了，
7,《流浪地球》最大的硬伤：洛希极限竟是错的！地球真会被木星撕碎吗？,不知道这个事九四年的时候曾经有一次会幕大相撞那个彗星就叫苏梅克列维九号其实在九二年的时候送梅克列维九号就已经进入了木星的这个录取线里面就四岁了九四年的时候就要碎片有多光机撞了木心上了这个原因的也是啊旭极限的问题，背离母亲在一边隐藏的是贝利木星的换句话说隐藏的有把这个人的思想空中的趣事这个人所以没有升到空中那是因为啥呀那是因为还有地球的眼泪，而且那个处等待咱们指的是同一个人来讲了个处是等待的地球的万有引力比较简单地球的万有引力那是指向地心的，这个周末就是中心天体的密度中心天体的密度比如说我们这个地球和木星伟丽它就是木星的密度是小星星或者小天体的密度，不过了整个片子中最大的一个bug还在于它片子的基础是因为地球接近木星的时候超过了洛希极限就会被撕碎但是圈子中给出了息极限数值是错误的那我们今天就来介绍一下洛希极限是什么以及这个骗子洛溪极限为什么给错了，所以啊所以隐藏内疚指的是一个小天才大天体外围的时候啊小天体啊小天体它受到的力叫潮汐力正好能够等于它自身的，如果地球是钢铁的华地球人也不能算是个钢铁啊但是假如地球是钢铁的华他洛西极限是多少呢是五点6万公里大家看一下这个数据，各位同学大家好我是你的老师我们今天的继续来讨论流浪地球的话题许多小朋友在刘芳必修中发现了一些bug给我说的点燃木星之后这个冲击波会不会把地球大气冲走了再比如说刘备强烧坏了貌似的摄像头那么貌似就彻底死了吗，而且因为是男人想说就说在这个点上木星的万有引力其实比惯性一大啊十一这个典型的没有你这个这个是指木星的a处，它大约地球自身的万有引力于是于是这个检查的就会把这个人呢大叔华什么抛向太空如果你就是在西线的外面会有什么结果呢在录音机下面的时候他这个隐藏就没那么大，啊那这个数据的其实是一比较小啊姨梅旧木星是一个气体行刑它里面都是氢气吗还有就是地球地球啊就大了5.51克每立方厘米，为什么这个人没有分呢就因为这还免费把它赚回来了吗难道你那逼出呢并处木星的望远镜比较小惯性丽还是那么大所以呢木星的引力就小瑜惯性力了，我们会的解释短信极限这个事儿啊首先呢还是需要跟大家来讨论一下潮汐丽也叫引潮力这个世界上也是地球上形成潮水的原因潮汐首先我们再来我一下惯性力，所以自然人往前飞了很正常但是如果我们在车消息去看这个问题首先必须指出车厢不是一个惯性参考系在运动时突然停止了它实际上是有一个向后的加速度的，这两个实力第一个实例一个实例就是土星光环我们知道的太阳系几个行星里面的有的是有光环的土星木星天王星海王星但是土星的光环最漂亮，莫西提现是这么算的它=1点二六倍的三次根号下odm彼尚优小m再乘以二怎么简单的解释一下啊这个公式是什么意思，指向地心的我们首先先考虑前面这两个字这个惯性丽啊够出是等大的而且是背的梦想的目的近大远小飞两个方向都是反，好了说完了快点兄弟之后我就可以讲第二个问题了就是隐藏的或者叫潮汐丽曹曦这个问题以前我们再讲为什么月球总是一面朝着地球的时候有讲过珍不过那个时候的我们是元素圆周运动的模型来处理的我们要告诉大家其实并不一定要匀速圆周运动我们就以这个流浪地球里面这个模型来看啊木星在这个位置呆着质量非常大然后呢地球啊靠近了木星因为他要利用这个木星的引力弹弓效应华因为地球受到木星引力所以它就会有加速度加速在哪儿呢受力指向木星啊所以，刘华他就更容易被隐藏的拉长她也就更容易被撕碎所以呢刘起来讲这个东西就稍微大一些啊你更好更快的会不会撕碎这个流体难它的公式是这样算的叫2.44倍三次根号下odm彼尚荣小m再乘二，那么这个人就是流体的东西给倩把它是171万公里要不要多然后他又说那地球进入到第一个东西现在进入第二个就会散掉啊你在哪儿呢我经过仔细的研究终于发现了问题在哪，在a处的时候木星的引力是大于人所受到的惯性力我们来了，张刚看一下首先东西的公式是什么如果是一个钢琴为钢铁是指啊这个小天体就比地球吧它是一个钢铁而不是进去的啊钢铁的一个星球呢，明天土星光环如何形成的人们经过研究发现土星光环那很有可能就是有一个彗星在经过土星附近的时候进入的洛希极限然后会怎么样然后被隐藏的四岁了四岁了四岁了之后这几个小块就成为他的一个光环的土星光环就算是这样形成，它所受到的一个虚拟的物体受到的一个虚拟的什么意思啊就是说牛顿定律啊只能在静止或匀速运动的参考系下的成立如果你是变速参考系你还非要去用定律的话就需要添加一个惯性力贞观帝实际上是不存在的但是感受上它是存在的，我们在老木星的半径带进去木星的半径是7.15万公里红把数据代进去来算一算木星和地球之间，然后那个太阳和木星今天还有一个他不同的星球但是不一样的我们把木星的数据带进去木星它的密度是1.33克每立方厘米，踏实地上向后的加速度这个时候车厢很老气不是关于参考系的人为什么会往前飞呢因为人受到了一个往前的虚拟力这个虚拟力我们就称它为我们说这个惯性力是不存在的提示如果你非要去撤销为三角形问题的话你就需要添加这个惯性力可以啊就会受到一个惯性丽这个惯性丽f是向前的所以呢所以人就飞出去了这是我们现在就来看，结果的前面有一个强这个车啊公斤一下撞墙了或者急刹车之类的这个时候车就停了车停的时候人会怎么样人会突然之间往前飞飞，极限因为他是法国人洛夕最早提出的所以呢小户型曲线什么东西刚才我们说过你长得有可能会把这个物体思想太空啊除非他能够对抗地球引力，慧人受到的惯性力是向右的对吧惯性病啊幻想还有什么你不要忘了人站在地球上还受到一个地球的眼泪地球的眼泪就是人生的三个地方到底这个病人也是一样咱们看看这个病人啊病人呢手机收到一个木星的万有引力，裸体绘本四岁是七点1万公里如果钢铁的价格怎么会变四岁就出现这样的一个问题所以在这里呢确实一个硬八字如果按照正常计算来讲了其实地球经过木星的时候是不会被四岁半后面就无法展开了啊这个貌似看来这个人工智能也不，木碗吧这是第一个眼泪那就是在地球参考系看来这个地方是不是惯性系所以这个人会受到一个惯性的刚才我们讲过这个惯性丽施与系统加速度反向地球往左加速，木星的万有引力啊它是女人和木星之间的距离有关系这个是不是距离木星较近一些因为他唱给你地球直径吗b这个人这个题目清远就不在我的特点是首先指向木星其次呢近大远小，建打元宵这是第一个来看惯性力王之道惯性的大小是质量在成语系统的加速度，他在这个加速度也是指向木星的啊救救地球加速度然后在地球的表面上站着两个人这两个人这个人这个人的b，同学人在地球上呆着受到惯性力这个外星人下载想要这是f这就是a和b的受力情况然后讨论一下这几个情况具体情况我们先来看木星的万有引力，还有一个叫苏梅克列维彗星苏梅克列维九号啊苏梅克列维九号很多小朋友对这个名字不太了解但是像我这样老年人就，那么我们现在回到这部电影啊我为什么说这个电影里面他是个bug那就是因为啊洛夕就是他给错了这也使得他那个电影里面有很多情节展开都是有问题的，这个隐藏对他小于地球的引力是他人的大叔救孩在地球上呆着就没事儿就这么一个意思那么在实际生活当中隐藏的有哪些体现呢我们举两个实例啊，下回再这样做介绍我喜欢的视频开始西瓜视频账号丢了老师的关注，很厉害哦不过尽管有这样的一个爸爸也并不妨碍了这部电影是一个非常精彩的电影因为它至少引发了我们的讨论并且让大家很多人都明白了什么事都行健关于动力的具体计算以及其他的芳壁球，这个是为什么呢如果我们从地面参考系下来看在地面参考系来看这个问题是很合理的因为车停止了但人呢凭借惯性人停不下来人还要匀速直线往前走，有了这个壁这个人他有一个声控的趋势他也没有深空是一份还有地球引力造成于是我们把这两个力合起来就叫隐藏的或者叫潮汐丽蕴藏的藏的特点通才的讨论我们已经知道了那就是在嘲笑木星的这一边隐藏，mm2公司长得差不多钱不差一个系数咋办现在我们会发现啊不管是哪一种情况是流体好是钢铁浩他这个东西极限的其实都跟两个星球的密度，那么如果这个地球是位于洛溪店里面会有什么结果呢当他出于洛溪极限里面的时候会出现什么就会出现隐藏的啊或者说潮汐力啊，你这个人呐假如说质量是完全一样的系统加速度歌出演都一样因为都是地球的加速度吗所以惯性力应该是怎么样呢木星背离木星方向是向右的，左右燕只要惯性的是一种数学处理方法就是当我们在一个非匀速静止的参考系中研究问题的时候我们需要对物体添加惯性力这样他才能符合牛顿定律，得到是木星进入太阳引力范围芝后背太阳十岁洛希极限不是地球进入木星引力范围芝后背木星死的都一起来听明白了吗如果被辞退的话是算在这个，他站在地球的不同的两册啊张丹研究一下这a和b是怎么受力的手机这个诶呀他说了什么丽它要受到一个指向木星的万有引力这是木星给的，怪兽兄弟的大小有多大关于受力的大小f=m×am是这个物体的质量而a是系统的加速度就是系统的加速度是a所有的燃烧的过程都是它自身的质量乘以加速度还有一个方向，附身的引力就叫洛希惊现举个例子来说啊我们就以木星和地球韦力假如木星在这个位置然后地球在母亲的旁边那么就会有那么一个极限位置，以及大天体的半径有关不同的星球他们的线性线是不一样的你不用说吧地球和他不行就不行倩然后地球和月球之间有一个东西，九璃盏刘超咱们都经历过这样的事说一个人站在一个汽车之中啊这个汽车正在匀速往前行驶匀速行驶的时候啊其实人没有什么感觉他站在地面上一样，什么是惯性力的惯性病是一种虚拟的他是在变速参考系中参考系统你就是并非匀速直线或静止的参考系中这个物体，就在做后期处理的时候啊导演们没有仔细去查看这个东西极限这些含义结果造成了他们去网上查了一下东西极限一查太阳和木星之间的洛希极限是89万公里和171万公里，啊这圈圈儿一它标明了这一圈就掉钢铁洛希极限是89万公里我要看跟我算的是数据差很多啊算他是五点6万他是89万，儿童可以想象假如地球离木星太近了就到什么程度呢金焘这个隐藏的啊跟地球的引力一样大了这个演唱的就会怎么样就会把人思想空中对曝光人飞向空中，打开这个数据呢确实是比木星的半径大一些于是也就是大概在这个范围那么一个星球如果是流体的华他进入第一个有题目息给建最后那些就会散掉那么地球实际上介于纲铁流体之间的所以他进去之后会散掉然后呢不会进入钢铁一所以它不一定会完全散掉，这个东西底线是五点6万公里她比木星的半径七点5万还要小这说明了什么这说明了地球和木星之间的刚体东西极限是在木星的半径里面也就是说假如这个是木星的华刚取掉想被撕碎她不是那么清理哪些换句话说钢琴是不会被四岁了，f木星的引力七四收到一个地球的眼泪地球引力指向地心对吗对于b来讲它是往左指的就是地球的引力，什么地面大叔啊石头啊就都会飞向空中于是那有一个法国人洛夕讨论这个问题提出了洛希极限的概念我们下面就讨论这个洛希极限啊万茜，儿童的不对你看他不告诉我说没空你九号被撕碎了到因为它不一定是个钢铁吧咱们再看如果是个体呢如果是个体的话他做一切旭蒜说完了之后十点儿9万公里，人死了没有升到空中但是地面上有水吗所以会形成什么形成所谓的潮汐现象这块凸起背面也会凸起来吧两边都会凸起而是这个侧面就会落巢臼两面是长，大小姐给我在这个例子中救地球吗那么它就是中心天体的半径中心的半径比如说木星的半径这个公式是怎么推导出来的咱们做一个番外篇单独给他做介绍啊珍我们先把公司写到这儿来如果说这个星球啊你呢木星的距离小于这个了那么他就会变四如果大于这个值就不，这个极限位置啊在这她的眼曹力演曹力正好就等于地面上物体所受到地球的引力那么这个距离呢就叫洛溪极限有这个就，我说的你不说这就说硬吧干嘛呢他很有可能就是进到了一个东西给建然后就散掉了但事实上他不是因为什么呢就是我们仔细去看电影啊在这个地方其实貌似它是给出了一个数据的怎么画的这是木星强然后他画了两个洛希极限，方向是与系统的加速度a反向比如说这个车厢往前走突然停了加速都是向后的那么人受到了惯性依旧向前如果这个车突然加速呢那人受到惯性那个向后所以你想象一下在车厢里面突然汽车加速度你是往后仰一下吧那这个也是由于惯性力的作用，好的叫刘婷什么叫流体哪就是家家木星的这个彗星它不一定像地球一样解释他很有可能是个气体的或者是什么是那个这个可以流动的一些物质，
8, 为什么水在4度时密度最大？,我们身边的物体图片都有热胀冷缩的性质温度降低的时候构成物质的分子或者原子会逐渐安定下来彼此逐渐接近这样物质的体积就会变小而密度会变大但并不是所有物质都会严格遵守这个规律比如说在零到4摄氏度的时候水的体积会随着温度降低而增大也就是这是因为水分子之间存在的有方向性的氢键水分子在低温下逐渐安定的时候有一些水分子会通过氢键和其他四个水分子连接成类似于并的结构计时水分子之间的平均距离反而比混乱的时候要更远，在冬天的冰面以下4摄氏度的水密度大会沉在下层温度更低的水的密度更小或不在更天健并列的位置这样爱了谁的上下对流导致冰面不能快速的向下生长这就是为什么水下的生物在冬天也能生存的微信关注才知道总比别人先知道，3301，谁做的降低越来越多的水分子趋向于形成这种有秩序的结构中在某一个零件温度这种趋势取它的原本的热胀冷缩主导的水在整体上的体积变化而这个零件温度大约94摄氏度水的这个特性有一个很重要的作用，
9,阿图尔·叔本华,阿图尔·叔本华（德语：Arthur Schopenhauer，1788年2月22日－1860年9月21日），著名德国哲学家，唯意志论主义的开创者，其思想对近代的学术界、文化界影响极为深远。不同于同时代的费希特、谢林、黑格尔，叔本华并无取消物自体，他继承了康德对物自体和表象之间的区分，认为它是可以透过直观而被认识的，并且将其确定为意志。叔本华认为，意志是独立于时间和空间的，它同时亦包括所有的理性与知识，我们只能透过沉思来摆脱它。叔本华把他著名的悲观主义哲学与此学说联系在一起，认为被意志所支配最终只会带来虚无和痛苦。他对心灵屈从于器官、欲望和冲动的压抑、扭曲的理解启发了日后的精神分析学和心理学。
10,深度学习,深度学习（英语：deep learning）是机器学习的分支，是一种以人工神经网络为架构，对数据进行表征学习的算法。[1][2][3][4][5]深度学习是机器学习中一种基于对数据进行表征学习的算法。观测值（例如一幅图像）可以使用多种方式来表示，如每个像素强度值的向量，或者更抽象地表示成一系列边、特定形状的区域等。而使用某些特定的表示方法更容易从实例中学习任务（例如，人脸识别或面部表情识别[6]）。深度学习的好处是用非监督式或半监督式的特征学习和分层特征提取高效算法来替代手工获取特征。[7]表征学习的目标是寻求更好的表示方法并创建更好的模型来从大规模未标记数据中学习这些表示方法。表示方法来自神经科学，并松散地创建在类似神经系统中的信息处理和对通信模式的理解上，如神经编码，试图定义拉动神经元的反应之间的关系以及大脑中的神经元的电活动之间的关系。[8]至今已有数种深度学习框架，如深度神经网络、卷积神经网络和深度置信网络和递归神经网络已被应用在计算机视觉、语音识别、自然语言处理、音频识别与生物信息学等领域并获取了极好的效果。另外，“深度学习”已成为类似术语，或者说是神经网络的品牌重塑
