id,title,accuracy,recall_rate
1,阿图尔·叔本华,0.4,0.5
2,深度学习,0.3,0.25
3,巴黎圣母院,0.3,0.42857142857142855
4,黑洞,0.2,0.25
5,神经元,0.4,0.6666666666666666
6,外星人,0.5,0.5
7,计算机科学,0.4,0.6666666666666666
8,卷积神经网络,0.1,0.16666666666666666
9,奥卡姆剃刀,0.3,0.375
10,维克多雨果,0.8,0.8
11,计算机图形学,0.2,0.3333333333333333
12,计算机视觉,0.1,0.16666666666666666
13,决策树,0.2,0.4
14,机器学习,0.3,0.42857142857142855
15,微信小程序,0.0,0.0
16,华南理工大学,0.4,0.4444444444444444
17,宪法,0.4,0.6666666666666666
18,言论自由,0.2,0.3333333333333333
19,多重宇宙论	,0.5,0.5
20,双缝实验,0.5,0.625
21,信息检索,0.3,0.5
22,广州,0.3,0.5
23,室内设计,0.2,0.25
24,经济学,0.3,0.375
25,三维模型,0.3,0.6
26,total,0.316,0.43646408839779005
