id,title,key
1,为什么中国人自带繁简转换器？,繁体字 汉字 文字 中国 字形 文化 信息 老师 读书 英语
2,什么是博弈论？,博弈论 囚犯 囚徒 市场占有率 企业 学问 客官 利益 学校 价格
3,《基因组：人类自传23章》,基因 心脏病 基因组 人类 皮质醇 语法 压力 环境 职位 激素
4,什么是关税？,关税 烤串 商品 国家 产业 市场 消费者 进口国 故事 国际
5,“智商”是什么？,智商 智力 年龄 儿童 高智商 爱因斯坦 俱乐部 心智 标准差 速度
6,wifi信号是怎么穿墙的？,wifi 信号 电磁波 路由器 障碍物 建筑 穿透力 波长 频率 客厅
7,《流浪地球》最大的硬伤：洛希极限竟是错的！地球真会被木星撕碎吗？,木星 地球 洛希 惯性 引力 加速度 惯性力 钢铁 参考系 天体
8, 为什么水在4度时密度最大？,水分子 密度 温度 摄氏度 体积 物质 冰面 氢键 秩序 生长
9,SoLink学术助手小程序,学术 用户 讲座 平台 功能 助手 程序 信息 国学 面膜
10,卷积神经网络,卷积 神经网络 函数 网络 损失 单元 深度 形式 线性 参数
11,计算机图形学,图形 计算机 图形学 曲面 造型 图像 真实感 绘制 表面 算法
12,计算机视觉,视觉 计算机 目标 系统 图像 机器 信息 科学 环境 生物
13,计算机视觉,视觉 计算机 图像 目标 系统 机器 信息 科学 生物 环境
