id,title,accuracy,recall_rate
1,阿图尔·叔本华,0.3,0.375
2,深度学习,0.6,0.5
3,巴黎圣母院,0.3,0.42857142857142855
4,黑洞,0.3,0.375
5,神经元,0.3,0.5
6,外星人,0.6,0.6
7,计算机科学,0.2,0.3333333333333333
8,卷积神经网络,0.4,0.6666666666666666
9,奥卡姆剃刀,0.4,0.5
10,维克多雨果,0.5,0.5
11,计算机图形学,0.4,0.6666666666666666
12,计算机视觉,0.3,0.5
13,决策树,0.2,0.4
14,机器学习,0.4,0.5714285714285714
15,微信小程序,0.4,1.0
16,华南理工大学,0.5,0.5555555555555556
17,宪法,0.5,0.8333333333333334
18,言论自由,0.3,0.5
19,多重宇宙论	,0.4,0.4
20,双缝实验,0.6,0.75
21,信息检索,0.5,0.8333333333333334
22,广州,0.4,0.6666666666666666
23,室内设计,0.6,0.75
24,经济学,0.5,0.625
25,三维模型,0.3,0.6
26,计算机辅助药物设计	药物,0.8,0.6153846153846154
27,华为,0.8,0.5714285714285714
28,海思半导体,0.3,0.5
29,电气电子工程师学会,0.7,0.7777777777777778
30,线性表,0.5,0.7142857142857143
31,儿童节,0.3,0.5
32,栈	,0.4,1.0
33,二叉树,0.6,0.8571428571428571
34,强化学习,0.4,0.5
35,遗传算法,0.4,0.6666666666666666
36,云计算,0.4,0.5714285714285714
37,数据挖掘,0.3,0.42857142857142855
38,显卡,0.5,0.8333333333333334
39,智慧医疗,0.6,0.75
40,区块链,0.6,0.75
41,total,0.445,0.5993265993265994
