id,title,key
1,为什么中国人自带繁简转换器？,中国 简化汉字 汉字系统 历史 英语 信息 文字 文化 人脑 海洋
2,什么是博弈论？,博弈论 博弈者 客官 价格战 买菜 思想 经济学 军事 企业 价值
3,《基因组：人类自传23章》,人类 语言障碍 心理 人类基因 智力 人体 基因组 历史 饮食习惯 身体
4,什么是关税？,关税 零关税 市场 摊主 进口商品 全球 产业 失业 性价比 消费者
5,“智商”是什么？,智商 儿童智力 盆腔炎 智力 学龄儿童 大脑 小孩 人类 心智 年龄
6,wifi信号是怎么穿墙的？,wifi 信号 信息 电脑 中国 人体 微波 储藏室 城市 距离
7,《流浪地球》最大的硬伤：洛希极限竟是错的！地球真会被木星撕碎吗？,地球 牛顿定律 木碗 录取线 木星 匀速圆周 流浪 惯性力 洛希 太阳
8, 为什么水在4度时密度最大？,密度 物质 物体 特性 温度 原子 分子 水分子 生物 体积
9,SoLink学术助手小程序,学术 助手 程序 管理员 山雨 讲座 信息 笔记 记录 平台
10,卷积神经网络,神经网络 卷积 数据量 图像 类型 权重 磁化率 区块 数据 空间
11,计算机图形学,计算机 图形学 数字图像 框图 工程图 点线面 图像 图形 技术 图像处理
12,计算机视觉,计算机 视觉 人脸识别 技术 信息 图像处理 建模 图像 人工智能 科学
